indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,LKA,2014,45.68584,,
FRESP.THC,LKA,2015,46.62416,,
FRESP.THC,LKA,2016,43.67954,,
FRESP.THC,LKA,2017,45.29699,,
FRESP.THC,LKA,2018,44.496,,
FRESP.THC,LKA,2020,49.6372,,
FRESP.THC,LKA,2022,48.82756,,
FRESP.THC,LSO,2015,36.44068,,
FRESP.THC,LTU,2012,52.35617,,
FRESP.THC,LTU,2013,51.22491,,
FRESP.THC,LTU,2014,50.25037,,
FRESP.THC,LTU,2015,50.74308,,
FRESP.THC,LTU,2016,51.56655,,
FRESP.THC,LTU,2017,49.51244,,
FRESP.THC,LTU,2018,48.9999,,
FRESP.THC,LTU,2019,49.08298,,
FRESP.THC,LTU,2020,49.06593,,
FRESP.THC,LTU,2021,48.47774,,
FRESP.THC,LTU,2022,48.84884,,
FRESP.THC,LUX,2013,27.27608,,
FRESP.THC,LUX,2015,28.35625,,
FRESP.THC,LUX,2017,28.0791,,
FRESP.THC,LUX,2019,27.37775,,
FRESP.THC,LUX,2021,29.89856,,
FRESP.THC,LVA,2012,52.80801,,
FRESP.THC,LVA,2013,51.97368,,
FRESP.THC,LVA,2014,52.05945,,
FRESP.THC,LVA,2015,51.01571,,
FRESP.THC,LVA,2016,52.17568,,
FRESP.THC,LVA,2017,52.22548,,
FRESP.THC,LVA,2018,50.67885,,
FRESP.THC,LVA,2019,50.59555,,
FRESP.THC,LVA,2020,50.01191,,
FRESP.THC,LVA,2021,49.81953,,
FRESP.THC,LVA,2022,50.65213,,
FRESP.THC,MAC,2012,33.93617,,
FRESP.THC,MAC,2013,34.5045,,
FRESP.THC,MAC,2014,32.63234,,
FRESP.THC,MAC,2015,33.70853,,
FRESP.THC,MAC,2016,39.21649,,
FRESP.THC,MAC,2017,39.08336,,
FRESP.THC,MAC,2018,38.67478,,
FRESP.THC,MAC,2019,39.83586,,
FRESP.THC,MAC,2020,40.2968,,
FRESP.THC,MAC,2021,40.92092,,
FRESP.THC,MAC,2022,37.59644,,
FRESP.THC,MAR,2012,32.11797,,
FRESP.THC,MAR,2016,33.7536,,
FRESP.THC,MDA,2012,48.08268,,
FRESP.THC,MDA,2013,47.96923,,
FRESP.THC,MDA,2014,47.84314,,
FRESP.THC,MDA,2015,49.13895,,
FRESP.THC,MDA,2016,49.12773,,
FRESP.THC,MDA,2017,48.49057,,
FRESP.THC,MDA,2018,48.55927,,
FRESP.THC,MDA,2019,47.52439,,
FRESP.THC,MDA,2020,49.19161,,
FRESP.THC,MDA,2021,49.96575,,
FRESP.THC,MDA,2022,50.8722,,
FRESP.THC,MDG,2014,32.1116,,
FRESP.THC,MDG,2016,33.19838,,
FRESP.THC,MDG,2017,32.87356,,
FRESP.THC,MDG,2018,33.03651,,
FRESP.THC,MDG: Caucasus and Central Asia,2012,45.09643,,
FRESP.THC,MDG: Caucasus and Central Asia,2022,50.35765,,
FRESP.THC,MDG: Developed regions,2012,30.15011,,
FRESP.THC,MDG: Developed regions,2022,31.78174,,
FRESP.THC,MDG: Developing regions,2012,28.74378,,
FRESP.THC,MDG: Developing regions,2022,30.68011,,
FRESP.THC,MDG: Eastern Asia,2012,22.88022,,
FRESP.THC,MDG: Eastern Asia,2022,24.65266,,
FRESP.THC,MDG: Eastern Asia (excluding China),2012,17.85492,,
FRESP.THC,MDG: Eastern Asia (excluding China),2022,23.39707,,
FRESP.THC,MDG: Latin America and the Caribbean,2012,44.88243,,
FRESP.THC,MDG: Latin America and the Caribbean,2022,45.31468,,
FRESP.THC,MDG: Northern Africa,2012,40.72529,,
FRESP.THC,MDG: Northern Africa,2022,43.26864,,
FRESP.THC,MDG: South-eastern Asia,2012,38.93197,,
